Delta, Rate, Expect, Margin
13, 51.92%, 106.43%, 0.49%
14, 53.05%, 106.59%, 0.47%
15, 52.32%, 106.90%, 0.46%
16, 51.92%, 107.22%, 0.45%
17, 52.77%, 107.33%, 0.43%
18, 52.12%, 107.56%, 0.42%
19, 51.27%, 107.89%, 0.42%
20, 51.27%, 108.18%, 0.41%
21, 51.07%, 108.42%, 0.40%
22, 51.11%, 108.62%, 0.39%
23, 50.61%, 108.86%, 0.39%
24, 50.75%, 109.00%, 0.37%
25, 50.49%, 109.21%, 0.37%
26, 50.71%, 109.35%, 0.36%
27, 50.40%, 109.64%, 0.36%
28, 50.18%, 109.94%, 0.35%
29, 50.08%, 110.15%, 0.35%
Stock SH600887
1, 50.42%, 101.76%, 1.76%
2, 53.42%, 102.62%, 1.31%
3, 53.86%, 103.29%, 1.10%
4, 55.80%, 103.80%, 0.95%
5, 56.07%, 104.38%, 0.88%
6, 56.35%, 104.83%, 0.81%
7, 56.75%, 105.20%, 0.74%
8, 56.79%, 105.48%, 0.69%
9, 57.58%, 105.63%, 0.63%
10, 57.10%, 105.93%, 0.59%
11, 56.14%, 106.29%, 0.57%
12, 56.04%, 106.53%, 0.54%
13, 54.64%, 106.89%, 0.53%
14, 54.26%, 107.16%, 0.51%
15, 53.57%, 107.47%, 0.50%
16, 53.79%, 107.68%, 0.48%
17, 53.21%, 108.01%, 0.47%
18, 54.23%, 108.10%, 0.45%
19, 54.96%, 108.27%, 0.44%
20, 54.79%, 108.59%, 0.43%
21, 55.25%, 108.93%, 0.43%
22, 55.43%, 109.27%, 0.42%
23, 55.77%, 109.51%, 0.41%
24, 56.11%, 109.77%, 0.41%
25, 56.05%, 110.08%, 0.40%
26, 55.75%, 110.38%, 0.40%
27, 56.33%, 110.54%, 0.39%
28, 56.24%, 110.89%, 0.39%
29, 55.76%, 111.30%, 0.39%
Stock SH600888
1, 49.67%, 102.09%, 2.09%
2, 48.77%, 103.27%, 1.63%
3, 49.78%, 103.96%, 1.32%
4, 50.50%, 104.57%, 1.14%
5, 50.11%, 105.20%, 1.04%
6, 49.32%, 105.84%, 0.97%
7, 48.71%, 106.51%, 0.93%
8, 48.17%, 107.14%, 0.89%
9, 48.78%, 107.57%, 0.84%
10, 48.54%, 108.19%, 0.82%
11, 48.85%, 108.71%, 0.79%
12, 48.98%, 109.26%, 0.77%
13, 49.11%, 109.78%, 0.75%
14, 48.96%, 110.46%, 0.75%
15, 50.67%, 110.71%, 0.71%
16, 50.44%, 111.22%, 0.70%
17, 50.56%, 111.71%, 0.69%
18, 51.15%, 112.05%, 0.67%
19, 51.48%, 112.43%, 0.65%
20, 51.37%, 112.91%, 0.65%
21, 51.30%, 113.39%, 0.64%
22, 51.96%, 113.64%, 0.62%
23, 52.70%, 113.88%, 0.60%
24, 52.89%, 114.19%, 0.59%
25, 52.92%, 114.50%, 0.58%
26, 53.03%, 114.77%, 0.57%
27, 53.22%, 115.05%, 0.56%
28, 53.39%, 115.21%, 0.54%
29, 53.74%, 115.30%, 0.53%
Stock SH600889
1, 48.50%, 102.09%, 2.09%
2, 48.54%, 103.14%, 1.57%
3, 48.96%, 103.93%, 1.31%
4, 49.62%, 104.53%, 1.13%
5, 49.75%, 105.00%, 1.00%
6, 49.46%, 105.48%, 0.91%
7, 49.56%, 105.90%, 0.84%
8, 49.08%, 106.38%, 0.80%
9, 48.87%, 106.88%, 0.76%
10, 47.54%, 107.53%, 0.75%
11, 47.44%, 107.96%, 0.72%
12, 47.73%, 108.33%, 0.69%
13, 47.36%, 108.81%, 0.68%
14, 47.52%, 109.18%, 0.66%
15, 47.21%, 109.61%, 0.64%
16, 47.52%, 109.90%, 0.62%
17, 47.36%, 110.28%, 0.60%
18, 47.90%, 110.56%, 0.59%
19, 47.13%, 111.18%, 0.59%
20, 46.83%, 111.72%, 0.59%
21, 47.17%, 112.19%, 0.58%
22, 47.25%, 112.63%, 0.57%
23, 46.90%, 113.16%, 0.57%
24, 47.48%, 113.37%, 0.56%
25, 47.79%, 113.53%, 0.54%
26, 48.44%, 113.64%, 0.52%
27, 48.29%, 113.91%, 0.52%
28, 47.79%, 114.25%, 0.51%
29, 48.34%, 114.27%, 0.49%
Stock SH600890
1, 46.47%, 102.21%, 2.21%
2, 47.56%, 103.35%, 1.67%
3, 48.89%, 104.20%, 1.40%
4, 50.28%, 104.82%, 1.21%
5, 50.34%, 105.46%, 1.09%
6, 49.89%, 106.00%, 1.00%
7, 49.66%, 106.43%, 0.92%
8, 49.42%, 106.86%, 0.86%
9, 48.59%, 107.33%, 0.81%
10, 48.59%, 107.72%, 0.77%
11, 48.08%, 108.10%, 0.74%
12, 48.00%, 108.48%, 0.71%
13, 47.70%, 108.95%, 0.69%
14, 47.04%, 109.54%, 0.68%
15, 47.40%, 109.89%, 0.66%
16, 47.84%, 110.22%, 0.64%
17, 47.78%, 110.65%, 0.63%
18, 48.36%, 111.03%, 0.61%
19, 48.89%, 111.39%, 0.60%
20, 48.44%, 111.90%, 0.59%
21, 48.67%, 112.28%, 0.58%
22, 48.67%, 112.71%, 0.58%
23, 48.55%, 113.16%, 0.57%
24, 48.37%, 113.51%, 0.56%
25, 48.55%, 113.84%, 0.55%
26, 48.42%, 114.15%, 0.54%
27, 48.16%, 114.42%, 0.53%
28, 47.95%, 114.60%, 0.52%
29, 47.95%, 114.71%, 0.51%
Stock SH600891
1, 48.35%, 101.95%, 1.95%
2, 47.01%, 102.99%, 1.50%
3, 48.07%, 103.66%, 1.22%
4, 48.07%, 104.35%, 1.09%
5, 48.19%, 104.92%, 0.98%
6, 47.17%, 105.46%, 0.91%
7, 46.72%, 105.94%, 0.85%
8, 46.81%, 106.29%, 0.79%
9, 47.42%, 106.63%, 0.74%
10, 46.56%, 107.17%, 0.72%
11, 46.68%, 107.55%, 0.69%
12, 46.46%, 107.93%, 0.66%
13, 45.87%, 108.30%, 0.64%
14, 45.44%, 108.69%, 0.62%
15, 45.13%, 109.03%, 0.60%
16, 45.60%, 109.31%, 0.58%
17, 45.37%, 109.74%, 0.57%
18, 45.67%, 110.17%, 0.56%
19, 46.22%, 110.49%, 0.55%
20, 46.04%, 110.95%, 0.55%
21, 45.93%, 111.30%, 0.54%
22, 46.20%, 111.52%, 0.52%
23, 45.40%, 112.09%, 0.53%
24, 44.56%, 112.67%, 0.53%
25, 44.58%, 112.97%, 0.52%
26, 44.23%, 113.33%, 0.51%
27, 44.74%, 113.54%, 0.50%
28, 44.26%, 114.04%, 0.50%
29, 44.40%, 114.28%, 0.49%
Stock SH600892
1, 45.28%, 101.95%, 1.95%
2, 46.25%, 102.91%, 1.45%
3, 47.96%, 103.59%, 1.20%
4, 48.47%, 104.22%, 1.06%
5, 49.01%, 104.84%, 0.97%
6, 49.09%, 105.39%, 0.90%
7, 49.44%, 105.79%, 0.83%
8, 48.27%, 106.32%, 0.79%
9, 47.50%, 106.72%, 0.75%
10, 47.42%, 107.08%, 0.71%
11, 46.91%, 107.40%, 0.67%
12, 46.60%, 107.66%, 0.64%
13, 45.42%, 108.20%, 0.63%
14, 45.90%, 108.55%, 0.61%
15, 46.03%, 109.04%, 0.60%
16, 45.62%, 109.73%, 0.61%
17, 46.01%, 110.24%, 0.60%
18, 46.36%, 110.71%, 0.59%
19, 46.60%, 111.15%, 0.59%
20, 46.44%, 111.66%, 0.58%
21, 46.64%, 112.10%, 0.58%
22, 46.75%, 112.52%, 0.57%
23, 47.10%, 112.80%, 0.56%
24, 46.79%, 113.32%, 0.55%
25, 47.26%, 113.61%, 0.54%
26, 47.76%, 113.88%, 0.53%
27, 48.62%, 114.01%, 0.52%
28, 49.32%, 114.17%, 0.51%
29, 49.71%, 114.42%, 0.50%
Stock SH600893
1, 48.71%, 101.99%, 1.99%
2, 49.38%, 103.01%, 1.51%
3, 51.04%, 103.70%, 1.23%
4, 50.79%, 104.43%, 1.11%
5, 50.54%, 105.06%, 1.01%
6, 50.64%, 105.59%, 0.93%
7, 50.50%, 106.10%, 0.87%
8, 50.60%, 106.55%, 0.82%
9, 49.92%, 107.12%, 0.79%
10, 48.84%, 107.79%, 0.78%
11, 47.88%, 108.50%, 0.77%
12, 48.38%, 108.85%, 0.74%
13, 48.30%, 109.33%, 0.72%
14, 49.29%, 109.59%, 0.68%
15, 49.67%, 110.05%, 0.67%
16, 49.83%, 110.60%, 0.66%
17, 50.44%, 111.01%, 0.65%
18, 50.37%, 111.49%, 0.64%
19, 50.69%, 111.86%, 0.62%
20, 50.77%, 112.30%, 0.62%
21, 51.56%, 112.51%, 0.60%
22, 51.98%, 112.91%, 0.59%
23, 52.31%, 113.22%, 0.57%
24, 52.89%, 113.49%, 0.56%
25, 52.22%, 114.07%, 0.56%
26, 53.47%, 114.15%, 0.54%
27, 53.31%, 114.48%, 0.54%
28, 53.39%, 114.69%, 0.52%
29, 53.64%, 114.86%, 0.51%
Stock SH600894
1, 48.24%, 101.87%, 1.87%
2, 48.16%, 102.85%, 1.42%
3, 48.36%, 103.54%, 1.18%
4, 48.94%, 104.09%, 1.02%
5, 48.94%, 104.60%, 0.92%
6, 48.67%, 105.02%, 0.84%
7, 48.98%, 105.29%, 0.76%
8, 48.40%, 105.64%, 0.70%
9, 48.09%, 106.01%, 0.67%
10, 48.43%, 106.33%, 0.63%
11, 47.43%, 106.73%, 0.61%
12, 47.97%, 106.91%, 0.58%
13, 48.38%, 107.22%, 0.56%
14, 47.97%, 107.60%, 0.54%
15, 48.10%, 107.92%, 0.53%
16, 49.54%, 108.03%, 0.50%
17, 49.54%, 108.36%, 0.49%
18, 49.11%, 108.74%, 0.49%
19, 49.19%, 109.17%, 0.48%
20, 49.19%, 109.59%, 0.48%
21, 49.07%, 110.02%, 0.48%
22, 48.88%, 110.53%, 0.48%
23, 49.73%, 110.79%, 0.47%
24, 49.34%, 111.20%, 0.47%
25, 49.65%, 111.43%, 0.46%
26, 49.61%, 111.67%, 0.45%
27, 50.12%, 111.77%, 0.44%
28, 50.39%, 111.95%, 0.43%
29, 50.19%, 112.28%, 0.42%
Stock SH600895
1, 48.20%, 101.79%, 1.79%
2, 48.31%, 102.72%, 1.36%
3, 49.63%, 103.28%, 1.09%
4, 49.98%, 103.76%, 0.94%
5, 50.30%, 104.15%, 0.83%
6, 49.73%, 104.62%, 0.77%
7, 49.27%, 105.05%, 0.72%
8, 48.81%, 105.43%, 0.68%
9, 48.49%, 105.81%, 0.65%
10, 47.49%, 106.31%, 0.63%
11, 46.76%, 106.82%, 0.62%
12, 46.45%, 107.19%, 0.60%
13, 46.33%, 107.52%, 0.58%
14, 46.27%, 107.88%, 0.56%
15, 45.93%, 108.31%, 0.55%
16, 46.59%, 108.62%, 0.54%
17, 46.18%, 109.16%, 0.54%
18, 46.02%, 109.59%, 0.53%
19, 45.46%, 110.09%, 0.53%
20, 45.62%, 110.47%, 0.52%
21, 45.60%, 110.79%, 0.51%
22, 45.08%, 111.33%, 0.52%
23, 45.44%, 111.63%, 0.51%
24, 45.30%, 112.04%, 0.50%
25, 44.94%, 112.55%, 0.50%
26, 45.04%, 112.86%, 0.49%
27, 44.62%, 113.38%, 0.50%
28, 44.22%, 113.80%, 0.49%
29, 44.06%, 114.20%, 0.49%
Stock SH600896
1, 47.31%, 101.94%, 1.94%
2, 46.27%, 102.94%, 1.47%
3, 47.46%, 103.67%, 1.22%
4, 48.10%, 104.32%, 1.08%
5, 47.89%, 104.97%, 0.99%
6, 47.45%, 105.61%, 0.94%
7, 47.49%, 106.13%, 0.88%
8, 47.09%, 106.59%, 0.82%
9, 46.24%, 107.10%, 0.79%
10, 45.84%, 107.51%, 0.75%
11, 45.78%, 107.84%, 0.71%
12, 46.57%, 108.04%, 0.67%
13, 46.63%, 108.39%, 0.65%
14, 46.97%, 108.66%, 0.62%
15, 46.55%, 109.07%, 0.60%
16, 47.28%, 109.34%, 0.58%
17, 48.09%, 109.56%, 0.56%
18, 48.53%, 109.78%, 0.54%
19, 49.05%, 110.00%, 0.53%
20, 48.35%, 110.51%, 0.53%
21, 47.80%, 110.96%, 0.52%
22, 48.31%, 111.12%, 0.51%
23, 48.79%, 111.29%, 0.49%
24, 48.75%, 111.63%, 0.48%
25, 48.83%, 111.84%, 0.47%
26, 48.64%, 112.11%, 0.47%
27, 48.31%, 112.37%, 0.46%
28, 47.17%, 112.84%, 0.46%
29, 47.54%, 112.97%, 0.45%
Stock SH600897
1, 51.36%, 101.53%, 1.53%
2, 51.53%, 102.28%, 1.14%
3, 52.72%, 102.69%, 0.90%
4, 51.61%, 103.17%, 0.79%
5, 52.11%, 103.42%, 0.68%
6, 51.92%, 103.67%, 0.61%
7, 51.38%, 103.95%, 0.56%
8, 51.04%, 104.21%, 0.53%
9, 49.54%, 104.65%, 0.52%
10, 49.35%, 104.94%, 0.49%
11, 49.10%, 105.27%, 0.48%
12, 49.19%, 105.54%, 0.46%
13, 48.41%, 105.92%, 0.46%
14, 48.31%, 106.27%, 0.45%
15, 48.87%, 106.43%, 0.43%
16, 48.65%, 106.64%, 0.41%
17, 49.06%, 106.80%, 0.40%
18, 49.62%, 106.91%, 0.38%
19, 49.37%, 107.15%, 0.38%
20, 50.04%, 107.24%, 0.36%
21, 50.52%, 107.41%, 0.35%
22, 50.89%, 107.54%, 0.34%
23, 51.12%, 107.73%, 0.34%
24, 51.27%, 107.91%, 0.33%
25, 51.54%, 108.07%, 0.32%
26, 52.00%, 108.20%, 0.32%
27, 52.00%, 108.36%, 0.31%
28, 52.58%, 108.34%, 0.30%
29, 53.00%, 108.41%, 0.29%
Stock SH600898
1, 48.20%, 102.25%, 2.25%
2, 48.34%, 103.57%, 1.78%
3, 50.44%, 104.52%, 1.51%
4, 50.94%, 105.36%, 1.34%
5, 51.24%, 106.05%, 1.21%
6, 50.28%, 106.89%, 1.15%
7, 51.27%, 107.36%, 1.05%
8, 50.38%, 107.97%, 1.00%
9, 50.14%, 108.51%, 0.95%
10, 50.52%, 108.94%, 0.89%
11, 50.28%, 109.39%, 0.85%
12, 50.56%, 109.79%, 0.82%
13, 50.94%, 110.04%, 0.77%
14, 51.64%, 110.42%, 0.74%
15, 51.06%, 110.98%, 0.73%
16, 51.50%, 111.30%, 0.71%
17, 51.76%, 111.74%, 0.69%
18, 51.67%, 112.26%, 0.68%
19, 51.20%, 112.90%, 0.68%
20, 51.24%, 113.48%, 0.67%
21, 51.39%, 113.80%, 0.66%
22, 51.76%, 113.99%, 0.64%
23, 52.47%, 114.05%, 0.61%
24, 52.18%, 114.42%, 0.60%
25, 51.81%, 114.67%, 0.59%
26, 51.53%, 114.99%, 0.58%
27, 51.29%, 115.15%, 0.56%
28, 52.18%, 115.16%, 0.54%
29, 51.76%, 115.60%, 0.54%
Stock SH600899
1, 43.05%, 102.07%, 2.07%
2, 43.47%, 102.90%, 1.45%
3, 43.90%, 103.43%, 1.14%
4, 43.56%, 103.98%, 1.00%
5, 41.96%, 104.62%, 0.92%
6, 43.83%, 104.96%, 0.83%
7, 42.82%, 105.48%, 0.78%
8, 41.60%, 106.09%, 0.76%
9, 41.55%, 106.62%, 0.74%
10, 40.04%, 107.40%, 0.74%
11, 39.11%, 108.06%, 0.73%
12, 38.86%, 108.66%, 0.72%
13, 39.28%, 109.05%, 0.70%
14, 39.96%, 109.26%, 0.66%
15, 40.06%, 109.69%, 0.65%
16, 40.74%, 109.98%, 0.62%
17, 41.71%, 110.16%, 0.60%
18, 41.75%, 110.59%, 0.59%
19, 41.69%, 110.91%, 0.57%
20, 40.76%, 111.48%, 0.57%
21, 42.16%, 111.37%, 0.54%
22, 41.72%, 111.75%, 0.53%
23, 41.37%, 112.12%, 0.53%
24, 41.70%, 112.27%, 0.51%
25, 41.89%, 112.52%, 0.50%
26, 41.99%, 112.81%, 0.49%
27, 42.19%, 113.01%, 0.48%
28, 41.89%, 113.18%, 0.47%
29, 41.89%, 113.34%, 0.46%
Stock SH600900
1, 47.51%, 101.07%, 1.07%
2, 49.25%, 101.57%, 0.78%
3, 49.97%, 101.91%, 0.64%
4, 51.17%, 102.24%, 0.56%
5, 52.97%, 102.50%, 0.50%
6, 53.09%, 102.79%, 0.47%
7, 53.45%, 102.97%, 0.42%
8, 52.73%, 103.18%, 0.40%
9, 52.94%, 103.25%, 0.36%
10, 52.91%, 103.32%, 0.33%
11, 51.62%, 103.51%, 0.32%
12, 52.85%, 103.55%, 0.30%
13, 52.88%, 103.65%, 0.28%
14, 52.44%, 103.85%, 0.28%
15, 51.62%, 104.16%, 0.28%
16, 51.90%, 104.31%, 0.27%
17, 51.81%, 104.49%, 0.26%
18, 51.66%, 104.66%, 0.26%
19, 53.08%, 104.69%, 0.25%
20, 53.53%, 104.78%, 0.24%
21, 53.86%, 104.85%, 0.23%
22, 52.81%, 104.96%, 0.23%
23, 52.30%, 105.07%, 0.22%
24, 52.99%, 105.09%, 0.21%
25, 52.63%, 105.24%, 0.21%
26, 52.81%, 105.33%, 0.20%
27, 52.57%, 105.49%, 0.20%
28, 52.09%, 105.67%, 0.20%
29, 52.69%, 105.74%, 0.20%
Stock SH600901
1, 46.76%, 101.31%, 1.31%
2, 49.10%, 101.83%, 0.92%
3, 52.13%, 102.24%, 0.75%
4, 48.65%, 102.76%, 0.69%
5, 50.23%, 102.94%, 0.59%
6, 49.32%, 103.11%, 0.52%
7, 46.17%, 103.43%, 0.49%
8, 48.87%, 103.40%, 0.43%
9, 44.59%, 103.92%, 0.44%
10, 43.47%, 104.33%, 0.43%
11, 46.17%, 104.35%, 0.40%
12, 48.20%, 104.45%, 0.37%
13, 47.52%, 104.70%, 0.36%
14, 47.18%, 104.84%, 0.35%
15, 46.15%, 105.09%, 0.34%
16, 44.44%, 105.45%, 0.34%
17, 43.86%, 105.67%, 0.33%
18, 42.82%, 105.93%, 0.33%
19, 42.47%, 106.12%, 0.32%
20, 42.56%, 106.45%, 0.32%
21, 42.43%, 106.81%, 0.32%
22, 41.38%, 107.25%, 0.33%
23, 40.78%, 107.49%, 0.33%
24, 39.72%, 107.62%, 0.32%
25, 40.28%, 107.40%, 0.30%
26, 39.91%, 107.29%, 0.28%
27, 40.37%, 107.05%, 0.26%
28, 40.14%, 107.00%, 0.25%
29, 39.21%, 107.04%, 0.24%
Stock SH600903
1, 48.97%, 101.88%, 1.88%
2, 48.35%, 103.06%, 1.53%
3, 48.15%, 103.89%, 1.30%
4, 46.91%, 104.70%, 1.17%
5, 49.38%, 105.05%, 1.01%
6, 48.87%, 105.82%, 0.97%
7, 47.73%, 106.58%, 0.94%
8, 46.79%, 107.35%, 0.92%
9, 45.64%, 108.18%, 0.91%
10, 44.28%, 109.36%, 0.94%
11, 44.79%, 110.07%, 0.92%
12, 44.68%, 110.70%, 0.89%
13, 43.93%, 111.57%, 0.89%
14, 44.44%, 112.14%, 0.87%
15, 42.23%, 113.38%, 0.89%
16, 41.05%, 114.37%, 0.90%
17, 39.87%, 115.60%, 0.92%
18, 39.66%, 116.52%, 0.92%
19, 37.13%, 118.74%, 0.99%
20, 35.44%, 120.60%, 1.03%
21, 37.76%, 120.11%, 0.96%
22, 37.84%, 120.90%, 0.95%
23, 37.08%, 122.16%, 0.96%
24, 39.07%, 121.63%, 0.90%
25, 37.66%, 122.85%, 0.91%
26, 39.02%, 122.40%, 0.86%
27, 39.02%, 122.52%, 0.83%
28, 39.45%, 122.41%, 0.80%
29, 38.59%, 122.96%, 0.79%
Stock SH600908
1, 43.58%, 101.27%, 1.27%
2, 43.64%, 101.82%, 0.91%
3, 44.48%, 102.26%, 0.75%
4, 46.01%, 102.47%, 0.62%
5, 43.87%, 102.77%, 0.55%
6, 43.25%, 102.94%, 0.49%
7, 42.79%, 103.10%, 0.44%
8, 42.94%, 103.31%, 0.41%
9, 42.79%, 103.72%, 0.41%
10, 45.09%, 103.85%, 0.38%
11, 44.39%, 104.28%, 0.39%
12, 44.77%, 104.63%, 0.39%
13, 43.61%, 105.11%, 0.39%
14, 42.44%, 105.61%, 0.40%
15, 42.50%, 106.07%, 0.40%
16, 42.11%, 106.61%, 0.41%
17, 42.33%, 107.04%, 0.41%
18, 42.86%, 107.35%, 0.41%
19, 41.68%, 107.80%, 0.41%
20, 42.68%, 107.98%, 0.40%
21, 43.68%, 108.22%, 0.39%
22, 44.38%, 108.47%, 0.39%
23, 44.69%, 108.85%, 0.38%
24, 44.69%, 109.01%, 0.38%
25, 44.22%, 109.24%, 0.37%
26, 44.06%, 109.38%, 0.36%
27, 44.22%, 109.41%, 0.35%
28, 43.91%, 109.45%, 0.34%
29, 44.13%, 109.35%, 0.32%
Stock SH600909
1, 48.57%, 101.48%, 1.48%
2, 48.41%, 102.16%, 1.08%
3, 48.73%, 102.76%, 0.92%
4, 46.50%, 103.46%, 0.86%
5, 43.79%, 104.08%, 0.82%
6, 43.47%, 104.54%, 0.76%
7, 41.24%, 105.09%, 0.73%
8, 41.40%, 105.42%, 0.68%
9, 41.56%, 105.79%, 0.64%
10, 42.52%, 106.15%, 0.61%
11, 41.88%, 106.70%, 0.61%
12, 44.50%, 106.69%, 0.56%
13, 44.09%, 107.11%, 0.55%
14, 42.88%, 107.52%, 0.54%
15, 42.95%, 107.78%, 0.52%
16, 41.83%, 108.22%, 0.51%
17, 42.31%, 108.51%, 0.50%
18, 41.35%, 109.07%, 0.50%
19, 39.90%, 109.64%, 0.51%
20, 39.42%, 110.02%, 0.50%
21, 39.58%, 110.31%, 0.49%
22, 39.42%, 110.59%, 0.48%
23, 39.10%, 110.83%, 0.47%
24, 39.74%, 110.99%, 0.46%
25, 40.22%, 111.12%, 0.44%
26, 39.26%, 111.71%, 0.45%
27, 38.94%, 112.08%, 0.45%
28, 38.78%, 112.33%, 0.44%
29, 38.84%, 112.33%, 0.43%
Stock SH600917
1, 48.96%, 101.71%, 1.71%
2, 50.00%, 102.55%, 1.27%
3, 50.65%, 103.01%, 1.00%
4, 50.20%, 103.35%, 0.84%
5, 49.48%, 103.67%, 0.73%
6, 50.85%, 103.86%, 0.64%
7, 49.87%, 104.29%, 0.61%
8, 50.33%, 104.73%, 0.59%
9, 50.26%, 105.35%, 0.59%
10, 48.62%, 106.02%, 0.60%
11, 49.34%, 106.19%, 0.56%
12, 49.67%, 106.36%, 0.53%
13, 48.81%, 106.60%, 0.51%
14, 49.01%, 106.66%, 0.48%
15, 48.01%, 106.99%, 0.47%
16, 47.68%, 107.33%, 0.46%
17, 45.55%, 107.90%, 0.46%
18, 45.95%, 108.25%, 0.46%
19, 46.88%, 108.58%, 0.45%
20, 46.61%, 109.11%, 0.46%
21, 45.95%, 109.67%, 0.46%
22, 46.22%, 109.92%, 0.45%
23, 46.61%, 110.05%, 0.44%
24, 46.22%, 110.23%, 0.43%
25, 47.41%, 110.14%, 0.41%
26, 47.34%, 110.28%, 0.40%
27, 48.07%, 110.13%, 0.38%
28, 48.13%, 110.12%, 0.36%
29, 47.00%, 110.41%, 0.36%
Stock SH600919
1, 42.90%, 101.00%, 1.00%
2, 45.29%, 101.37%, 0.69%
3, 47.68%, 101.63%, 0.54%
4, 45.89%, 101.98%, 0.50%
5, 45.43%, 102.18%, 0.44%
6, 43.57%, 102.50%, 0.42%
7, 43.26%, 102.64%, 0.38%
8, 44.19%, 102.72%, 0.34%
9, 43.57%, 102.89%, 0.32%
10, 44.34%, 102.95%, 0.30%
11, 43.57%, 103.13%, 0.28%
12, 44.41%, 103.20%, 0.27%
13, 42.92%, 103.41%, 0.26%
14, 40.97%, 103.66%, 0.26%
15, 41.19%, 103.75%, 0.25%
16, 40.62%, 103.86%, 0.24%
17, 41.63%, 103.84%, 0.23%
18, 41.22%, 103.91%, 0.22%
19, 41.60%, 103.93%, 0.21%
20, 41.19%, 103.97%, 0.20%
21, 41.10%, 104.14%, 0.20%
22, 40.85%, 104.30%, 0.20%
23, 40.54%, 104.54%, 0.20%
24, 39.43%, 104.68%, 0.19%
25, 39.43%, 104.86%, 0.19%
26, 40.06%, 104.95%, 0.19%
27, 39.49%, 105.06%, 0.19%
28, 39.56%, 105.13%, 0.18%
29, 40.25%, 105.08%, 0.18%
Stock SH600926
1, 47.03%, 101.35%, 1.35%
2, 46.78%, 102.09%, 1.04%
3, 47.19%, 102.65%, 0.88%
4, 46.69%, 103.13%, 0.78%
5, 48.34%, 103.39%, 0.68%
6, 46.19%, 103.92%, 0.65%
7, 46.19%, 104.07%, 0.58%
8, 45.03%, 104.44%, 0.56%
9, 44.54%, 104.82%, 0.54%
10, 44.04%, 105.19%, 0.52%
11, 44.78%, 105.38%, 0.49%
12, 44.52%, 105.69%, 0.47%
13, 45.59%, 105.78%, 0.44%
14, 46.83%, 105.83%, 0.42%
15, 47.75%, 105.81%, 0.39%
16, 47.49%, 105.94%, 0.37%
17, 47.74%, 106.00%, 0.35%
18, 48.15%, 106.03%, 0.34%
19, 47.06%, 106.41%, 0.34%
20, 48.32%, 106.43%, 0.32%
21, 48.74%, 106.65%, 0.32%
22, 48.90%, 106.87%, 0.31%
23, 48.90%, 107.10%, 0.31%
24, 47.72%, 107.45%, 0.31%
25, 47.39%, 107.67%, 0.31%
26, 47.55%, 107.76%, 0.30%
27, 47.55%, 107.99%, 0.30%
28, 47.47%, 108.20%, 0.29%
29, 47.72%, 108.37%, 0.29%
Stock SH600928
1, 41.93%, 101.19%, 1.19%
2, 42.97%, 101.58%, 0.79%
3, 41.15%, 101.98%, 0.66%
4, 39.06%, 102.15%, 0.54%
5, 35.94%, 102.26%, 0.45%
6, 34.64%, 102.31%, 0.38%
7, 34.38%, 102.34%, 0.33%
8, 35.16%, 102.39%, 0.30%
9, 35.16%, 102.64%, 0.29%
10, 32.29%, 102.96%, 0.30%
11, 32.55%, 103.18%, 0.29%
12, 34.46%, 103.13%, 0.26%
13, 33.77%, 103.19%, 0.25%
14, 30.71%, 103.38%, 0.24%
15, 32.37%, 103.24%, 0.22%
16, 29.55%, 103.73%, 0.23%
17, 29.10%, 104.03%, 0.24%
18, 29.10%, 104.30%, 0.24%
19, 28.31%, 104.63%, 0.24%
20, 29.18%, 104.81%, 0.24%
21, 27.85%, 105.44%, 0.26%
22, 28.12%, 105.83%, 0.27%
23, 28.91%, 106.01%, 0.26%
24, 29.18%, 106.21%, 0.26%
25, 29.71%, 106.37%, 0.25%
26, 29.97%, 106.61%, 0.25%
27, 29.71%, 106.90%, 0.26%
28, 29.52%, 106.99%, 0.25%
29, 29.33%, 107.10%, 0.24%
Stock SH600929
1, 48.08%, 101.70%, 1.70%
2, 47.06%, 102.55%, 1.28%
3, 48.75%, 103.16%, 1.05%
4, 48.64%, 103.69%, 0.92%
5, 49.20%, 104.16%, 0.83%
6, 47.26%, 104.77%, 0.79%
7, 46.45%, 105.25%, 0.75%
8, 45.64%, 105.83%, 0.73%
9, 46.90%, 106.15%, 0.68%
10, 43.09%, 107.16%, 0.72%
11, 45.96%, 107.31%, 0.66%
12, 44.21%, 108.10%, 0.67%
13, 43.85%, 108.60%, 0.66%
14, 45.81%, 108.55%, 0.61%
15, 46.15%, 108.70%, 0.58%
16, 44.29%, 109.22%, 0.58%
17, 44.29%, 109.34%, 0.55%
18, 44.29%, 109.39%, 0.52%
19, 44.06%, 109.56%, 0.50%
20, 44.99%, 109.47%, 0.47%
21, 46.39%, 109.33%, 0.44%
22, 46.85%, 109.29%, 0.42%
23, 44.76%, 109.81%, 0.43%
24, 44.76%, 109.79%, 0.41%
25, 45.22%, 109.63%, 0.39%
26, 43.12%, 109.98%, 0.38%
27, 43.12%, 109.83%, 0.36%
28, 41.96%, 109.82%, 0.35%
29, 42.42%, 109.37%, 0.32%
Stock SH600933
1, 46.03%, 101.84%, 1.84%
2, 45.56%, 102.87%, 1.43%
3, 48.13%, 103.69%, 1.23%
4, 48.13%, 104.50%, 1.12%
5, 46.26%, 105.09%, 1.02%
